,Name,Year
943,Annihilation,2018
944,Mowgli: Legend of the Jungle,2018
945,Solo: A Star Wars Story,2018
946,The Avengers,2018
947,The Cleanse,2018
948,Bohemian Rhapsody,2018
949,Acts of Violence,2018
950,How to Talk to Girls at Parties,2018
951,The Possession of Hannah Grace,2018
952,Uncle Drew,2018
953,Wonder Woman,2018
954,Overboard,2018
955,Woman Walks Ahead,2018
956,"Don't Worry, He Won't Get Far on Foot",2018
957,Boy Erased,2018
958,Red Sparrow,2018
959,Tully,2018
960,Mary Queen of Scots,2018
961,Slender Man,2018
962,Book Club,2018
963,Smallfoot,2018
964,"Wikipedia:WikiProject Lists"">incomplete</a>; you can help by <span class=""plainlinks""><a class=""external text"" href=""//en.wikipedia.org/w/index.php?title=List_of_American_films_of_2018&amp;action=edit",2018
965,Ben Is Back,2018
966,White Boy Rick,2018
967,Mid90s,2018
968,On the Basis of Sex,2018
969,Teen Titans Go! To the Movies,2018
970,Social Animals,2018
971,The Hate U Give,2018
972,Won't You Be My Neighbor?,2018
973,Kin,2018
974,Ready Player One,2018
975,Captain America: Civil War,2018
976,The Commuter,2018
977,Mortal Engines,2018
978,Truth or Dare,2018
979,Entebbe,2018
980,Can You Ever Forgive Me?,2018
981,The Miseducation of Cameron Post,2018
982,Nostalgia,2018
983,On Chesil Beach,2018
984,Minions,2018
985,I Can Only Imagine,2018
986,Gotti,2018
987,Midnight Sun,2018
988,The Dark Knight,2018
989,The Happytime Murders,2018
990,The Oath,2018
991,A Private War,2018
992,The First Purge,2018
993,The Spy Who Dumped Me,2018
994,The Silence,2018
995,Isle of Dogs,2018
996,Destination Wedding,2018
997,"Love, Gilda",2018
998,Aquaman,2018
999,The Meg,2018
1000,God's Not Dead: A Light in Darkness,2018
1001,Green Book,2018
1002,Halloween,2018
1003,Gringo,2018
1004,Peter Rabbit,2018
1005,Peppermint,2018
1006,The Darkest Minds,2018
1007,Deadpool,2018
1008,Sherlock Gnomes,2018
1009,Superfly,2018
1010,Permission,2018
1011,Crazy Rich Asians,2018
1012,The Girl in the Spider's Web,2018
1013,Chappaquiddick,2018
1014,Adrift,2018
1015,"Juliet, Naked",2018
1016,12 Strong,2018
1017,Hunter Killer,2018
1018,Vice,2018
1019,Shock and Awe,2018
1020,The Mule,2018
