,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
160,145000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",http://www.howtotrainyourdragon.com/,82702,"[{""id"": 494, ""name"": ""father son relationship""}, {""id"": 1157, ""name"": ""wife husband relationship""}, {""id"": 2858, ""name"": ""sacrifice""}, {""id"": 5895, ""name"": ""viking""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 12554, ""name"": ""dragon""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 175421, ""name"": ""death of husband""}, {""id"": 192913, ""name"": ""warrior""}, {""id"": 209714, ""name"": ""3d""}]",en,How to Train Your Dragon 2,"The thrilling second chapter of the epic How To Train Your Dragon trilogy brings back the fantastical world of Hiccup and Toothless five years later. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",100.21391,"[{""name"": ""DreamWorks Animation"", ""id"": 521}, {""name"": ""Mad Hatter Entertainment"", ""id"": 20154}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-06-12 00:00:00,609123048,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The training is over.,How to Train Your Dragon 2,7.6,3106
161,140000000,"[{""id"": 14, ""name"": ""Fantasy""}]",,205584,"[{""id"": 1160, ""name"": ""egypt""}, {""id"": 1449, ""name"": ""underworld""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 2035, ""name"": ""mythology""}, {""id"": 2906, ""name"": ""nile""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9727, ""name"": ""thief""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 18034, ""name"": ""desert""}, {""id"": 161172, ""name"": ""gods""}, {""id"": 163338, ""name"": ""egyptian mythology""}, {""id"": 185638, ""name"": ""egyptian""}, {""id"": 227686, ""name"": ""myth""}]",en,Gods of Egypt,A common thief joins a mythical god on a quest through Egypt.,56.257249,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Mystery Clock Cinema"", ""id"": 908}, {""name"": ""Thunder Road Pictures"", ""id"": 3528}, {""name"": ""TIK Films"", ""id"": 72441}, {""name"": ""Pyramania"", ""id"": 88715}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-02-25 00:00:00,150680864,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The battle for eternity begins,Gods of Egypt,5.3,1277
175,140000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",http://movies.disney.com/the-bfg,267935,"[{""id"": 212, ""name"": ""london england""}, {""id"": 392, ""name"": ""england""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2011, ""name"": ""queen""}, {""id"": 12663, ""name"": ""little girl""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 14895, ""name"": ""cannibal""}, {""id"": 189099, ""name"": ""giant""}, {""id"": 227364, ""name"": ""evil brother""}]",en,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",44.19092,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Reliance Entertainment"", ""id"": 7294}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Walden Media"", ""id"": 10221}]","[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-06-01 00:00:00,183345589,120.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The world is more giant than you can imagine.,The BFG,6.0,1000
176,135000000,"[{""id"": 37, ""name"": ""Western""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.foxmovies.com/movies/the-revenant,281957,"[{""id"": 494, ""name"": ""father son relationship""}, {""id"": 570, ""name"": ""rape""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1262, ""name"": ""mountains""}, {""id"": 1442, ""name"": ""winter""}, {""id"": 2522, ""name"": ""grizzly bear""}, {""id"": 3593, ""name"": ""wilderness""}, {""id"": 9454, ""name"": ""frontier""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10322, ""name"": ""native american""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 10468, ""name"": ""bear""}, {""id"": 10794, ""name"": ""snow""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 157164, ""name"": ""animal death""}, {""id"": 158175, ""name"": ""bear attack""}, {""id"": 159138, ""name"": ""death of son""}, {""id"": 185722, ""name"": ""based on true events""}, {""id"": 194976, ""name"": ""fur trapper""}]",en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",100.635882,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""CatchPlay"", ""id"": 8870}, {""name"": ""Anonymous Content"", ""id"": 10039}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Hong Kong Alpha Motion Pictures Co."", ""id"": 13796}, {""name"": ""RatPac Entertainment"", ""id"": 28732}, {""name"": ""M Productions"", ""id"": 52660}, {""name"": ""Monarchy Enterprises S.a.r.l."", ""id"": 77845}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""TW"", ""name"": ""Taiwan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-12-25 00:00:00,532950503,156.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396
179,132000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",,270946,"[{""id"": 3028, ""name"": ""penguin""}, {""id"": 3645, ""name"": ""madagascar""}, {""id"": 209714, ""name"": ""3d""}]",en,Penguins of Madagascar,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",84.366984,"[{""name"": ""DreamWorks Animation"", ""id"": 521}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-11-22 00:00:00,373552094,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,6.5,1346
182,130000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",http://marvel.com/movies/movie/180/ant-man,102899,"[{""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}, {""id"": 209714, ""name"": ""3d""}]",en,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",120.09361000000001,"[{""name"": ""Marvel Studios"", ""id"": 420}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-07-14 00:00:00,519311965,117.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Heroes don't get any bigger.,Ant-Man,7.0,5880
184,135000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",http://www.meettheboov.com/,228161,"[{""id"": 6054, ""name"": ""friendship""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 9882, ""name"": ""space""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 197194, ""name"": ""alien friendship""}, {""id"": 235972, ""name"": ""awful leader""}, {""id"": 235974, ""name"": ""taking resposibility""}]",en,Home,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",63.473086,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""DreamWorks Animation"", ""id"": 521}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-03-18 00:00:00,368871007,94.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Worlds Collide,Home,6.8,1519
189,125000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.noahmovie.com,86834,"[{""id"": 3036, ""name"": ""bible""}, {""id"": 9649, ""name"": ""god""}, {""id"": 195790, ""name"": ""noah""}, {""id"": 209714, ""name"": ""3d""}]",en,Noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,46.115758,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Protozoa Pictures"", ""id"": 7503}, {""name"": ""Disruption Entertainment"", ""id"": 10256}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-03-20 00:00:00,362637473,139.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The end of the world is just the beginning.,Noah,5.6,2350
195,127000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",,181533,"[{""id"": 1406, ""name"": ""night watchman""}, {""id"": 2598, ""name"": ""museum""}, {""id"": 5647, ""name"": ""natural history""}, {""id"": 9682, ""name"": ""history""}, {""id"": 209642, ""name"": ""smithsonian""}]",en,Night at the Museum: Secret of the Tomb,"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley (Ben Stiller) spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",115.597753,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""TSG Entertainment"", ""id"": 22213}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-12-17 00:00:00,349424282,97.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One Final Night to Save the Day.,Night at the Museum: Secret of the Tomb,6.1,1851
200,125000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.thehungergames.movie/,131631,"[{""id"": 836, ""name"": ""resistance""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 11322, ""name"": ""female protagonist""}, {""id"": 18101, ""name"": ""bow and arrow""}, {""id"": 18249, ""name"": ""game""}, {""id"": 162484, ""name"": ""future war""}, {""id"": 162845, ""name"": ""revolt""}, {""id"": 165299, ""name"": ""class prejudice""}, {""id"": 207569, ""name"": ""human subjugation""}, {""id"": 223438, ""name"": ""based on young adult novel""}]",en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,206.227151,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Color Force"", ""id"": 5420}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-11-18 00:00:00,752100229,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584
202,103000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",http://www.riomovies.com/,172385,"[{""id"": 2646, ""name"": ""bird""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 10787, ""name"": ""jungle""}, {""id"": 33928, ""name"": ""audition""}, {""id"": 166103, ""name"": ""amazon rainforest""}, {""id"": 198270, ""name"": ""parrots""}]",en,Rio 2,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law.",42.400240000000004,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-03-19 00:00:00,500188435,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,"He's villainous, she's venomous.",Rio 2,6.3,978
218,120000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.jasonbournemovie.com,324668,"[{""id"": 782, ""name"": ""assassin""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 187844, ""name"": ""flashback""}]",en,Jason Bourne,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,62.641286,"[{""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Captivate Entertainment"", ""id"": 25716}, {""name"": ""Pearl Street Films"", ""id"": 29313}, {""name"": ""Double Negative"", ""id"": 31922}, {""name"": ""Perfect World (Beijing) Pictures Co."", ""id"": 83871}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}]",2016-07-27 00:00:00,415484914,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You know his name,Jason Bourne,5.9,2341
224,120000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.robocop.com,97020,"[{""id"": 679, ""name"": ""cyborg""}, {""id"": 2964, ""name"": ""future""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6149, ""name"": ""police""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 18021, ""name"": ""detroit""}]",en,RoboCop,"In RoboCop, the year is 2028 and multinational conglomerate OmniCorp is at the center of robot technology.  Overseas, their drones have been used by the military for years, but have been forbidden for law enforcement in America.  Now OmniCorp wants to bring their controversial technology to the home front, and they see a golden opportunity to do it.  When Alex Murphy – a loving husband, father and good cop doing his best to stem the tide of crime and corruption in Detroit – is critically injured, OmniCorp sees their chance to build a part-man, part-robot police officer.  OmniCorp envisions a RoboCop in every city and even more billions for their shareholders, but they never counted on one thing: there is still a man inside the machine.",66.757869,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Strike Entertainment"", ""id"": 655}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-01-30 00:00:00,242688965,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,We've got the future under control.,RoboCop,5.7,2342
237,115000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",http://www.thehuntsmanmovie.com/,290595,"[{""id"": 616, ""name"": ""witch""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 3205, ""name"": ""fairy tale""}, {""id"": 169341, ""name"": ""snow white""}, {""id"": 211392, ""name"": ""huntsman""}]",en,The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",60.467983999999994,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Perfect World Pictures"", ""id"": 10338}, {""name"": ""Roth Films"", ""id"": 16314}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-04-06 00:00:00,164602163,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The story before Snow White,The Huntsman: Winter's War,6.0,1523
238,125000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.teenagemutantninjaturtlesmovie.com,98566,"[{""id"": 779, ""name"": ""martial arts""}, {""id"": 949, ""name"": ""terrorist""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 2766, ""name"": ""mutation""}, {""id"": 4580, ""name"": ""van""}, {""id"": 6362, ""name"": ""turtle""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10278, ""name"": ""ninja""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 41412, ""name"": ""sewer""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 198781, ""name"": ""science experiment""}, {""id"": 209714, ""name"": ""3d""}]",en,Teenage Mutant Ninja Turtles,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,143.350376,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Platinum Dunes"", ""id"": 2481}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-08-07 00:00:00,477200000,101.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,Teenage Mutant Ninja Turtles,5.8,2636
241,135000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.teenagemutantninjaturtlesmovie.com/,308531,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 6362, ""name"": ""turtle""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10278, ""name"": ""ninja""}, {""id"": 189359, ""name"": ""rat""}]",en,Teenage Mutant Ninja Turtles: Out of the Shadows,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",39.873791,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""5150 Action"", ""id"": 47354}, {""name"": ""Gama Entertainment Partners"", ""id"": 77208}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]",2016-06-01 00:00:00,245623848,112.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Raise some shell.,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963
242,120000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.fantasticfourmovie.com/,166424,"[{""id"": 3822, ""name"": ""teleportation""}, {""id"": 4375, ""name"": ""transformation""}, {""id"": 5086, ""name"": ""telekinesis""}, {""id"": 7939, ""name"": ""portal""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 160117, ""name"": ""fantastic four""}, {""id"": 191564, ""name"": ""body horror""}, {""id"": 205731, ""name"": ""invisible woman""}]",en,Fantastic Four,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",38.126095,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Marv Films"", ""id"": 5374}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Constantin Film."", ""id"": 9078}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Genre Films"", ""id"": 28788}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-08-05 00:00:00,167977596,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Change is coming.,Fantastic Four,4.4,2278
244,110000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.sanandreasmovie.com/,254128,"[{""id"": 387, ""name"": ""california""}, {""id"": 3521, ""name"": ""earthquake""}, {""id"": 188351, ""name"": ""catastrophe""}, {""id"": 189411, ""name"": ""disaster film""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 213895, ""name"": ""san andreas""}, {""id"": 213896, ""name"": ""san andreas california""}, {""id"": 222529, ""name"": ""rescue operation""}]",en,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",100.412364,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Flynn Picture Company"", ""id"": 34081}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",2015-05-27 00:00:00,470490832,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"A rescue pilot survived an earthquake, this is what happens next",San Andreas,6.0,2968
249,110000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.thedivergentseries.movie/#insurgent,262500,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 2020, ""name"": ""revolution""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 162988, ""name"": ""dystopic future""}, {""id"": 206298, ""name"": ""young adult""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 211389, ""name"": ""divergent""}]",en,Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,103.71838699999999,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""NeoReel"", ""id"": 24097}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-03-18 00:00:00,295238201,119.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One Choice Can Destroy You,Insurgent,6.2,3829
253,110000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10752, ""name"": ""War""}]",http://www.300themovie.com/,53182,"[{""id"": 18712, ""name"": ""based on graphic novel""}, {""id"": 162861, ""name"": ""ancient greece""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 182677, ""name"": ""sea battle""}, {""id"": 188955, ""name"": ""hand to hand combat""}, {""id"": 190999, ""name"": ""minions""}, {""id"": 195862, ""name"": ""naval warfare""}, {""id"": 209714, ""name"": ""3d""}]",en,300: Rise of an Empire,"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.",71.51059599999999,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Hollywood Gang Productions"", ""id"": 2994}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Nimar Studios"", ""id"": 7636}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-03-05 00:00:00,337580051,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Seize your glory!,300: Rise of an Empire,6.1,2397
256,110000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.thedivergentseries.movie/#allegiant,262504,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 2020, ""name"": ""revolution""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 162988, ""name"": ""dystopic future""}, {""id"": 206298, ""name"": ""young adult""}, {""id"": 223438, ""name"": ""based on young adult novel""}]",en,Allegiant,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,86.105615,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-03-09 00:00:00,179246868,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Break the boundaries of your world,Allegiant,5.9,1998
